name,formatted_address,rating,website,opening_hours,cuisine
ClusterTruck - Broad Ripple,"2101 E 62nd St, Indianapolis, IN 46220, USA",4.9,http://clustertruck.com/,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20099:00\u202fPM']",
ClusterTruck - Castleton,"4737 E 82nd St, Indianapolis, IN 46250, USA",4.9,http://clustertruck.com/,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 3:00\u2009–\u20099:00\u202fPM', 'Sunday: Closed']",
Tacos Tierra caliente Restaurant,"5035 W Washington St, Indianapolis, IN 46241, USA",4.8,http://tacostierracaliente.com/?utm_source=gmb&utm_medium=referral,"['Monday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 11:00\u202fAM\u2009–\u200912:59\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u200912:59\u202fAM', 'Sunday: Closed']",Mexican
ClusterTruck,"729 N Pennsylvania St, Indianapolis, IN 46204, USA",4.8,https://downtown-indy.clustertruck.com/menu?utm_source=google%20my%20business&utm_medium=search%20listing,"['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20099:00\u202fPM']",Public Art
Birrieria Iturbidense,"Lot Food Truck, 6302 W Washington St, Indianapolis, IN 46241, USA",4.7,,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 6:00\u202fPM\u2009–\u20091:00\u202fAM', 'Saturday: 6:00\u202fPM\u2009–\u20091:00\u202fAM', 'Sunday: 6:00\u2009–\u200911:00\u202fPM']",
Emergency Taco Truck,"7001 Pendleton Pike, Indianapolis, IN 46226, USA",4.7,,"['Monday: Closed', 'Tuesday: 3:00\u2009–\u200910:00\u202fPM', 'Wednesday: 3:00\u2009–\u200910:00\u202fPM', 'Thursday: 3:00\u2009–\u200910:00\u202fPM', 'Friday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: Closed']",
Tacos El Iturbidense,"Circle K Parking Lot, 6402 W 10th St, Indianapolis, IN 46214, USA",4.7,,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 6:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 6:00\u202fPM\u2009–\u20091:00\u202fAM', 'Saturday: 6:00\u202fPM\u2009–\u20091:00\u202fAM', 'Sunday: 2:00\u2009–\u20098:00\u202fPM']",
King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",4.7,,"['Monday: 10:30\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 10:30\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 10:30\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 10:30\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 10:30\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 10:30\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 10:30\u202fAM\u2009–\u200912:00\u202fAM']",
My Taco Stop,"2131 N Mitthoefer Rd, Indianapolis, IN 46229, USA",4.7,https://order.online/store/my-taco-stop-indianapolis-2549288/?hideModal=true&pickup=true,"['Monday: Closed', 'Tuesday: 3:00\u2009–\u20099:00\u202fPM', 'Wednesday: 3:00\u2009–\u20099:00\u202fPM', 'Thursday: 3:00\u2009–\u20099:00\u202fPM', 'Friday: 3:00\u2009–\u20099:00\u202fPM', 'Saturday: 3:00\u2009–\u20099:00\u202fPM', 'Sunday: Closed']",
Super Tacos food truck,"7202 E Washington St, Indianapolis, IN 46219, USA",4.6,,,
